N4153,"Family, Marriage and Other Related Counsellors","4153 - Family, Marriage and Other Related Counsellors"
N4154,"Ministers of Religion","4154 - Ministers of Religion"
N4161,"Natural and Applied Science Policy Researchers, Consultants and Program Officers","4161 - Natural and Applied Science Policy Researchers, Consultants and Program Officers"
N4162,"Economists and Economic Policy Researchers and Analysts & Economic Development Officers and Marketing Researchers and Consultants","4162 - Economists and Economic Policy Researchers and Analysts; 4163 - Economic Development Officers and Marketing Researchers and Consultants"
N4164,"Health and Social Policy Researchers, Consultants and Program Officers","4164 - Health and Social Policy Researchers, Consultants and Program Officers; 4165 - Health Policy Researchers, Consultants and Program Officers"
N4166,"Other Policy and Program Officers, Researchers and Consultants (Education, Recreation and Sports, Unique to Government, Other in Social Science)","4166 - Education Policy Researchers, Consultants and Program Officers; 4167 - Recreation and Sports Program Supervisors and Consultants; 4168 - Program Officers Unique to Government; 4169 - Other Professional Occupations in Social Science"
N4211,"Paralegal and Related Occupations","4211 - Paralegal and Related Occupations"
N4212,"Community and Social Service Workers","4212 - Community and Social Service Workers"
N4213,"Employment Counsellors","4213 - Employment Counsellors"
N4214,"Early Childhood Educators and Assistants","4214 - Early Childhood Educators and Assistants"
N4215,"Other Instructors and Teachers & Religious Occupations","4215 - Instructors and Teachers of Disabled Persons; 4216 - Other Instructors; 4217 - Other Religious Occupations"
N5110,"Librarians, Archivists, Conservators And Curators","5111 - Librarians; 5112 - Conservators and Curators; 5113 - Archivists"
N5121,"Writers, Editors & Journalists","5121 - Writers; 5122 - Editors; 5123 - Journalists"
N5124,"Professional Occupations in Public Relations and Communications","5124 - Professional Occupations in Public Relations and Communications"
N5125,"Translators, Terminologists and Interpreters","5125 - Translators, Terminologists and Interpreters"
N5131,"Producers, Directors, Choreographers & Conductors, Composers and Arrangers","5131 - Producers, Directors, Choreographers and Related Occupations; 5132 - Conductors, Composers and Arrangers"
N5133,"Musicians and Singers, Dancers, Actors, Painters and Other Visual Artists","5133 - Musicians and Singers; 5134 - Dancers; 5135 - Actors; 5136 - Painters, Sculptors and Other Visual Artists"
N5210,"Technical Occupations In Libraries, Archives, Museums And Galleries","5211 - Library and Archive Technicians and Assistants; 5212 - Technical Occupations Related to Museums and Galleries"
N5221,"Photographers","5221 - Photographers"
N5222,"Graphic Arts Technicians and Technical Occupations in Motions Pictures, Broadcasting and the Performing Arts","5222 - Film and Video Camera Operators; 5223 - Graphic Arts Technicians; 5224 - Broadcast Technicians; 5225 - Audio and Video Recording Technicians; 5226 - Other Technical Occupations in Motion Pictures, Broadcasting and the Performing Arts; 5227 - Support and Assisting Occupations in Motion Pictures, Broadcasting and the Performing Arts"
N5230,"Announcers And Other Performers","5231 - Announcers and Other Broadcasters; 5232 - Other Performers"
N5241,"Graphic Designers and Illustrating Artists","5241 - Graphic Designers and Illustrating Artists"
N5242,"Interior Designers","5242 - Interior Designers"
N5243,"Other Creative Designers and Craftspersons","5243 - Theatre, Fashion, Exhibit and Other Creative Designers; 5244 - Artisans and Craftspersons; 5245 - Patternmakers - Textile, Leather and Fur Products"
N5250,"Athletes, Coaches, Referees And Related Occupations","5251 - Athletes; 5252 - Coaches; 5253 - Sports Officials and Referees; 5254 - Program Leaders and Instructors in Recreation and Sport"
N6211,"Retail Trade Supervisors","6211 - Retail Trade Supervisors"
N6212,"Food Service Supervisors","6212 - Food Service Supervisors"
N6213,"Other Services Supervisors (Executive Housekeepers, Cleaning, Others)","6213 - Executive Housekeepers; 6214 - Dry Cleaning and Laundry Supervisors; 6215 - Cleaning Supervisors; 6216 - Other Service Supervisors"
N6221,"Technical Sales Specialists, Wholesale Trade","6221 - Technical Sales Specialists, Wholesale Trade"
N6231,"Insurance Agents and Brokers","6231 - Insurance Agents and Brokers"
N6232,"Real Estate Agents and Salespersons","6232 - Real Estate Agents and Salespersons"
N6233,"Retail and Wholesale Buyers & Grain Elevator Operators","6233 - Retail and Wholesale Buyers; 6234 - Grain Elevator Operators"
N6241,"Chefs","6241 - Chefs"
N6242,"Cooks","6242 - Cooks"
N6251,"Butchers and Meat Cutters, Retail and Wholesale","6251 - Butchers and Meat Cutters, Retail and Wholesale"
N6252,"Bakers","6252 - Bakers"
N6261,"Police Officers (except Commissioned)","6261 - Police Officers And Fire-Fighters"
N6262,"Fire-fighters","6262 - Fire-fighters"
N6271,"Hairstylists and Barbers","6271 - Hairstylists and Barbers"
N6272,"Funeral Directors and Embalmers","6272 - Funeral Directors and Embalmers"
N6411,"Sales Representatives, Wholesale Trade (Non-Technical)","6411 - Sales Representatives, Wholesale Trade (Non-Technical)"
N6421,"Retail Salespersons and Sales Clerks","6421 - Retail Salespersons And Sales Clerks"
N6431,"Travel Counsellors","6431 - Travel Counsellors"
N6432,"Pursers and Flight Attendants","6432 - Pursers and Flight Attendants"
N6433,"Airline Sales and Service Agents & Ticket and Cargo Agents","6433 - Airline Sales and Service Agents; 6434 - Ticket and Cargo Agents and Related Clerks (except Airline)"
N6435,"Hotel Front Desk Clerks","6435 - Hotel Front Desk Clerks"
N6440,"Tour And Recreational Guides And Amusement Occupations","6441 - Tour and Travel Guides; 6442 - Outdoor Sport and Recreational Guides; 6443 - Casino Occupations"
N6451,"Maîtres d'hôtel and Hosts/Hostesses","6451 - Maîtres d'hôtel and Hosts/Hostesses"
N6452,"Bartenders","6452 - Bartenders"
N6453,"Food and Beverage Servers","6453 - Food and Beverage Servers"
N6460,"Other Occupations In Protective Service","6461 - Sheriffs and Bailiffs; 6462 - Correctional Service Officers; 6463 - By-law Enforcement and Other Regulatory Officers, n.e.c.; 6464 - Other Ranks, Armed Forces; 6465 - Other Protective Service Occupations"
N6471,"Visiting Homemakers, Housekeepers and Related Occupations","6471 - Visiting Homemakers, Housekeepers and Related Occupations"
