N6231,66.7,2.9,12.3,3.9,18.9,17.7,2.7,5,25.3,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6232,95,11.3,18.1,5.6,34.9,13,2,11,26.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6233,30.1,1.9,5.6,2,9.1,6,1.5,3,11,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6241,55.6,12,8.7,2,22.9,16.6,6,-7.2,15.3,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N6242,179.9,13.9,26.7,6.2,46.9,82.9,16.5,-22.5,76.6,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N6251,48.8,8.3,7.7,2,17.9,18,1,-1,18,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6252,37,1.2,5.6,1,8.2,13,5,-1,17,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N6261,82.1,6.6,19.4,3,28.8,20.4,0.5,9,30.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6262,31.3,3.1,7.4,1,11.7,7.6,0,4,11.2,SHORTAGE,PÉNURIE,SHORTAGE,PÉNURIE
N6271,99.8,8.8,14.4,4,27.1,40.5,4.4,-15,29.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6272,8.7,1.4,1,0,3.2,1,0,0,1,BALANCE,À L'ÉQUILIBRE,SHORTAGE,PÉNURIE
N6411,239.4,25,45.6,11.6,82.2,56.3,8.6,12,76.9,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N6421,543.6,23.7,74.5,20.9,119.4,231.8,40.4,-161,111.6,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6431,20.2,-0.5,2.9,1,3.3,7,3,-7,2.5,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6432,12,0.6,1.9,0,3.1,2,0,0,2.7,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6433,13.6,0,2,0.5,2.3,2.7,1,-3,1,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6435,21.7,2.2,3.5,1,6.7,11,2,-8,4.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6440,21.2,1.8,3,1,5.9,5,3,1,9,BALANCE,À L'ÉQUILIBRE,SURPLUS,SURPLUS
N6451,40.6,5.6,2.6,1,9.4,24.7,1,-17.5,7.9,SURPLUS,SURPLUS,SURPLUS,SURPLUS
N6452,33.6,0.7,2.1,1,3.5,16.7,1,-14,3.2,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
N6453,191.2,11.2,12.4,5,28.9,106.4,10.1,-79.7,36.9,BALANCE,À L'ÉQUILIBRE,BALANCE,À L'ÉQUILIBRE
